origin_date,sku,product_name,category,subcategory,recommendation_code,recommendation_title,recommended_action,priority,priority_rank,rationale,triggering_risk,confidence_status,required_follow_up,current_stock,on_order,lead_time_days,safety_stock,reorder_point,avg_weekly_demand,weeks_of_cover,excess_weeks_of_cover,earliest_breach_week,earliest_stockout_week,projected_stockout_date,valuation_basis_confirmed,arrival_timing_confirmed,on_order_policy,overstock_threshold_weeks,overstock_threshold_status,monetary_valuation_blocked
2025-03-04,SKU010,,,,EXPEDITE_PO,Expedite Inbound Shipment,Expedite existing inbound purchase order of 6 units immediately or arrange emergency split-shipment. Physical stock of 43 units will be depleted in week 1.,1 — CRITICAL,1,"Projected inventory position drops to -102 units (stockout) in week 1, which is within the supplier lead time of 12 days. Open orders exist but require delivery acceleration.",STOCKOUT_IMMINENT,HIGH_CONFIDENCE,Contact supplier within 24 hours to expedite shipment and obtain tracking confirmation.,43.0,6.0,12.0,10.0,46.0,150.4100465450145,0.325776110875249,0.0,1.0,1.0,2025-03-11,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU012,,,,EXPEDITE_PO,Expedite Inbound Shipment,Expedite existing inbound purchase order of 57 units immediately or arrange emergency split-shipment. Physical stock of 59 units will be depleted in week 1.,1 — CRITICAL,1,"Projected inventory position drops to -152 units (stockout) in week 1, which is within the supplier lead time of 13 days. Open orders exist but require delivery acceleration.",STOCKOUT_IMMINENT,HIGH_CONFIDENCE,Contact supplier within 24 hours to expedite shipment and obtain tracking confirmation.,59.0,57.0,13.0,25.0,77.0,212.93535269949754,0.5447662801381018,0.0,1.0,1.0,2025-03-11,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU013,,,,EXPEDITE_PO,Expedite Inbound Shipment,Expedite existing inbound purchase order of 75 units immediately or arrange emergency split-shipment. Physical stock of 83 units will be depleted in week 1.,1 — CRITICAL,1,"Projected inventory position drops to -33 units (stockout) in week 1, which is within the supplier lead time of 8 days. Open orders exist but require delivery acceleration.",STOCKOUT_IMMINENT,HIGH_CONFIDENCE,Contact supplier within 24 hours to expedite shipment and obtain tracking confirmation.,83.0,75.0,8.0,41.0,128.0,121.20661080561955,1.3035592609167699,0.0,1.0,1.0,2025-03-11,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU016,,,,EXPEDITE_PO,Expedite Inbound Shipment,Expedite existing inbound purchase order of 104 units immediately or arrange emergency split-shipment. Physical stock of 124 units will be depleted in week 2.,1 — CRITICAL,1,"Projected inventory position drops to -23 units (stockout) in week 2, which is within the supplier lead time of 13 days. Open orders exist but require delivery acceleration.",STOCKOUT_IMMINENT,HIGH_CONFIDENCE,Contact supplier within 24 hours to expedite shipment and obtain tracking confirmation.,124.0,104.0,13.0,65.0,217.0,112.62160220870187,2.0244783907219466,0.0,1.0,2.0,2025-03-18,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU026,,,,EXPEDITE_PO,Expedite Inbound Shipment,Expedite existing inbound purchase order of 20 units immediately or arrange emergency split-shipment. Physical stock of 40 units will be depleted in week 1.,1 — CRITICAL,1,"Projected inventory position drops to -141 units (stockout) in week 1, which is within the supplier lead time of 10 days. Open orders exist but require delivery acceleration.",STOCKOUT_IMMINENT,HIGH_CONFIDENCE,Contact supplier within 24 hours to expedite shipment and obtain tracking confirmation.,40.0,20.0,10.0,38.0,101.0,185.28531948993586,0.3238248997015601,0.0,1.0,1.0,2025-03-11,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU031,,,,EXPEDITE_PO,Expedite Inbound Shipment,Expedite existing inbound purchase order of 19 units immediately or arrange emergency split-shipment. Physical stock of 203 units will be depleted in week 2.,1 — CRITICAL,1,"Projected inventory position drops to -110 units (stockout) in week 2, which is within the supplier lead time of 8 days. Open orders exist but require delivery acceleration.",STOCKOUT_IMMINENT,HIGH_CONFIDENCE,Contact supplier within 24 hours to expedite shipment and obtain tracking confirmation.,203.0,19.0,8.0,26.0,88.0,158.0299362297551,1.4047971244969732,0.0,1.0,2.0,2025-03-18,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU033,,,,EXPEDITE_PO,Expedite Inbound Shipment,Expedite existing inbound purchase order of 20 units immediately or arrange emergency split-shipment. Physical stock of 209 units will be depleted in week 2.,1 — CRITICAL,1,"Projected inventory position drops to -75 units (stockout) in week 2, which is within the supplier lead time of 14 days. Open orders exist but require delivery acceleration.",STOCKOUT_IMMINENT,HIGH_CONFIDENCE,Contact supplier within 24 hours to expedite shipment and obtain tracking confirmation.,209.0,20.0,14.0,92.0,267.0,153.9076173145948,1.4879055630619804,0.0,1.0,2.0,2025-03-18,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU040,,,,EXPEDITE_PO,Expedite Inbound Shipment,Expedite existing inbound purchase order of 146 units immediately or arrange emergency split-shipment. Physical stock of 64 units will be depleted in week 1.,1 — CRITICAL,1,"Projected inventory position drops to -73 units (stockout) in week 1, which is within the supplier lead time of 13 days. Open orders exist but require delivery acceleration.",STOCKOUT_IMMINENT,HIGH_CONFIDENCE,Contact supplier within 24 hours to expedite shipment and obtain tracking confirmation.,64.0,146.0,13.0,24.0,103.0,143.01164074595619,1.4684119341938113,0.0,1.0,1.0,2025-03-11,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU049,,,,EXPEDITE_PO,Expedite Inbound Shipment,Expedite existing inbound purchase order of 497 units immediately or arrange emergency split-shipment. Physical stock of 182 units will be depleted in week 1.,1 — CRITICAL,1,"Projected inventory position drops to -28 units (stockout) in week 1, which is within the supplier lead time of 12 days. Open orders exist but require delivery acceleration.",STOCKOUT_IMMINENT,HIGH_CONFIDENCE,Contact supplier within 24 hours to expedite shipment and obtain tracking confirmation.,182.0,497.0,12.0,126.0,495.0,211.5982716341006,3.2089108987342705,0.0,1.0,1.0,2025-03-11,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU001,,,,PLACE_PO,Issue Replenishment Purchase Order,Place replenishment purchase order for ~474 units. Target supplier delivery on or before week 1.,2 — HIGH,2,"Projected inventory position (428 units) breaches Reorder Point (544 units) in week 1, inside the supplier lead time window of 9 days.",REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,549.0,571.0,9.0,221.0,544.0,118.55449781601743,9.447132083829562,0.0,1.0,,,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU002,,,,PLACE_PO,Issue Replenishment Purchase Order,Place replenishment purchase order for ~380 units. Target supplier delivery on or before week 1.,2 — HIGH,2,"Projected inventory position (142 units) breaches Reorder Point (322 units) in week 1, inside the supplier lead time window of 10 days.",REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,230.0,341.0,10.0,96.0,322.0,95.01893512353124,6.009328553910441,0.0,1.0,7.0,2025-04-22,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU004,,,,PLACE_PO,Issue Replenishment Purchase Order,Issue a calibrated replenishment order for ~144 units to protect week 1 Reorder Point breach. Note: Long-horizon inventory indicates 4.2 weeks of terminal surplus; do not exceed required batch size.,2 — HIGH,2,Inventory position breaches Reorder Point (374 units) in week 1 (lead time is 13 days). Reorder takes strict precedence over terminal surplus to prevent intermediate stockout.,REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,376.0,176.0,13.0,114.0,374.0,35.88408417109827,15.382864374300832,4.205968470912616,1.0,,,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU006,,,,PLACE_PO,Issue Replenishment Purchase Order,Issue a calibrated replenishment order for ~254 units to protect week 1 Reorder Point breach. Note: Long-horizon inventory indicates 5.6 weeks of terminal surplus; do not exceed required batch size.,2 — HIGH,2,Inventory position breaches Reorder Point (346 units) in week 1 (lead time is 13 days). Reorder takes strict precedence over terminal surplus to prevent intermediate stockout.,REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,255.0,628.0,13.0,111.0,346.0,56.703028980671746,15.572360346058172,5.614792963937608,1.0,,,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU017,,,,PLACE_PO,Issue Replenishment Purchase Order,Place replenishment purchase order for ~454 units. Target supplier delivery on or before week 1.,2 — HIGH,2,"Projected inventory position (133 units) breaches Reorder Point (220 units) in week 1, inside the supplier lead time window of 9 days.",REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,247.0,48.0,9.0,96.0,220.0,113.51730807676626,2.598722652941222,0.0,1.0,3.0,2025-03-25,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU021,,,,PLACE_PO,Issue Replenishment Purchase Order,Place replenishment purchase order for ~278 units. Target supplier delivery on or before week 1.,2 — HIGH,2,"Projected inventory position (60 units) breaches Reorder Point (95 units) in week 1, inside the supplier lead time window of 8 days.",REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,131.0,179.0,8.0,42.0,95.0,69.54949326075739,4.457257493418926,0.0,1.0,5.0,2025-04-08,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU022,,,,PLACE_PO,Issue Replenishment Purchase Order,Place replenishment purchase order for ~362 units. Target supplier delivery on or before week 1.,2 — HIGH,2,"Projected inventory position (201 units) breaches Reorder Point (212 units) in week 1, inside the supplier lead time window of 9 days.",REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,289.0,297.0,9.0,92.0,212.0,90.48291458769435,6.476360787782314,0.0,1.0,7.0,2025-04-22,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU023,,,,PLACE_PO,Issue Replenishment Purchase Order,Place replenishment purchase order for ~482 units. Target supplier delivery on or before week 1.,2 — HIGH,2,"Projected inventory position (11 units) breaches Reorder Point (157 units) in week 1, inside the supplier lead time window of 7 days.",REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,130.0,3.0,7.0,82.0,157.0,120.45771081386509,1.1041219287781057,0.0,1.0,2.0,2025-03-18,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU024,,,,PLACE_PO,Issue Replenishment Purchase Order,Place replenishment purchase order for ~449 units. Target supplier delivery on or before week 1.,2 — HIGH,2,"Projected inventory position (203 units) breaches Reorder Point (287 units) in week 1, inside the supplier lead time window of 13 days.",REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,310.0,427.0,13.0,81.0,287.0,112.1559102141109,6.571209654426881,0.0,1.0,7.0,2025-04-22,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU027,,,,PLACE_PO,Issue Replenishment Purchase Order,Place replenishment purchase order for ~798 units. Target supplier delivery on or before week 1.,2 — HIGH,2,"Projected inventory position (120 units) breaches Reorder Point (220 units) in week 1, inside the supplier lead time window of 7 days.",REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,232.0,96.0,7.0,79.0,220.0,199.47091758928067,1.6443499832660635,0.0,1.0,2.0,2025-03-18,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU028,,,,PLACE_PO,Issue Replenishment Purchase Order,Issue a calibrated replenishment order for ~357 units to protect week 1 Reorder Point breach. Note: Long-horizon inventory indicates 3.9 weeks of terminal surplus; do not exceed required batch size.,2 — HIGH,2,Inventory position breaches Reorder Point (407 units) in week 1 (lead time is 10 days). Reorder takes strict precedence over terminal surplus to prevent intermediate stockout.,REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,162.0,596.0,10.0,167.0,407.0,49.54032015644091,15.300668175061233,3.9296766378115944,1.0,,,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU030,,,,PLACE_PO,Issue Replenishment Purchase Order,Place replenishment purchase order for ~162 units. Target supplier delivery on or before week 1.,2 — HIGH,2,"Projected inventory position (41 units) breaches Reorder Point (123 units) in week 1, inside the supplier lead time window of 12 days.",REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,79.0,80.0,12.0,29.0,123.0,40.59308830307708,3.9169229700600856,0.0,1.0,4.0,2025-04-01,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU034,,,,PLACE_PO,Issue Replenishment Purchase Order,Place replenishment purchase order for ~687 units. Target supplier delivery on or before week 1.,2 — HIGH,2,"Projected inventory position (8 units) breaches Reorder Point (62 units) in week 1, inside the supplier lead time window of 4 days.",REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,174.0,4.0,4.0,37.0,62.0,171.62510594041987,1.0371442978849097,0.0,1.0,2.0,2025-03-18,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU035,,,,PLACE_PO,Issue Replenishment Purchase Order,Place replenishment purchase order for ~715 units. Target supplier delivery on or before week 1.,2 — HIGH,2,"Projected inventory position (319 units) breaches Reorder Point (330 units) in week 1, inside the supplier lead time window of 9 days.",REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,495.0,388.0,9.0,128.0,330.0,178.82683881763546,4.937737566901063,0.0,1.0,5.0,2025-04-08,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU041,,,,PLACE_PO,Issue Replenishment Purchase Order,Place replenishment purchase order for ~428 units. Target supplier delivery on or before week 1.,2 — HIGH,2,"Projected inventory position (14 units) breaches Reorder Point (278 units) in week 1, inside the supplier lead time window of 11 days.",REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,110.0,436.0,11.0,80.0,278.0,106.87922380494938,5.108570034120286,0.0,1.0,6.0,2025-04-15,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU042,,,,PLACE_PO,Issue Replenishment Purchase Order,Place replenishment purchase order for ~740 units. Target supplier delivery on or before week 1.,2 — HIGH,2,"Projected inventory position (84 units) breaches Reorder Point (86 units) in week 1, inside the supplier lead time window of 3 days.",REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,215.0,42.0,3.0,61.0,86.0,185.11275127153596,1.3883430408476558,0.0,1.0,2.0,2025-03-18,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU043,,,,PLACE_PO,Issue Replenishment Purchase Order,Place replenishment purchase order for ~708 units. Target supplier delivery on or before week 1.,2 — HIGH,2,"Projected inventory position (251 units) breaches Reorder Point (281 units) in week 1, inside the supplier lead time window of 8 days.",REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,428.0,7.0,8.0,80.0,281.0,176.92678290500677,2.458644151312888,0.0,1.0,3.0,2025-03-25,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
2025-03-04,SKU044,,,,PLACE_PO,Issue Replenishment Purchase Order,Place replenishment purchase order for ~350 units. Target supplier delivery on or before week 1.,2 — HIGH,2,"Projected inventory position (86 units) breaches Reorder Point (119 units) in week 1, inside the supplier lead time window of 8 days.",REORDER_POINT_BREACH_LT,HIGH_CONFIDENCE,Create purchase order requisition and transmit to vendor within 48 hours.,170.0,125.0,8.0,47.0,119.0,87.55282905714365,3.3693942637474397,0.0,1.0,4.0,2025-04-01,False,False,Policy_B_LT,8,ENGINEERING_RECOMMENDATION_PENDING_BUSINESS_APPROVAL,True
