feature_name,feature_group,source_column,formula,frequency,available_at,uses_future_data,leakage_status,inference_requirement,missingness_behavior,justification
lag_1,Demand Lags,Units_Sold,y(t),Weekly,Origin t,NO,SAFE,Last closed week demand,Zero preserved; NaN during warm-up,Core autoregressive signal
lag_2,Demand Lags,Units_Sold,y(t-1),Weekly,Origin t,NO,SAFE,2-week prior demand,Zero preserved; NaN during warm-up,Recent demand momentum
lag_3,Demand Lags,Units_Sold,y(t-2),Weekly,Origin t,NO,SAFE,3-week prior demand,Zero preserved; NaN during warm-up,Recent demand momentum
lag_4,Demand Lags,Units_Sold,y(t-3),Weekly,Origin t,NO,SAFE,4-week prior demand,Zero preserved; NaN during warm-up,Trailing 1-month benchmark
lag_8,Demand Lags,Units_Sold,y(t-7),Weekly,Origin t,NO,SAFE,8-week prior demand,Zero preserved; NaN during warm-up,Horizon-aligned cycle
lag_12,Demand Lags,Units_Sold,y(t-11),Weekly,Origin t,NO,SAFE,12-week prior demand,Zero preserved; NaN during warm-up,Quarterly boundary signal
lag_13,Demand Lags,Units_Sold,y(t-12),Weekly,Origin t,NO,SAFE,13-week prior demand,Zero preserved; NaN during warm-up,Quarterly cycle (52/4)
lag_26,Demand Lags,Units_Sold,y(t-25),Weekly,Origin t,NO,SAFE,26-week prior demand,Zero preserved; NaN during warm-up,Semi-annual cycle (52/2)
lag_52,Demand Lags,Units_Sold,y(t-51),Weekly,Origin t,NO,SAFE,52-week prior demand,Zero preserved; NaN during warm-up,Annual seasonal cycle (Phase 2B primary driver)
rolling_mean_4,Rolling Demand,Units_Sold,mean(lag_1..lag_4),Weekly,Origin t,NO,SAFE,Trailing 4-week demand,NaN during warm-up,Short-term volume baseline
rolling_mean_8,Rolling Demand,Units_Sold,mean(lag_1..lag_8),Weekly,Origin t,NO,SAFE,Trailing 8-week demand,NaN during warm-up,Medium-term volume baseline
rolling_mean_13,Rolling Demand,Units_Sold,mean(lag_1..lag_13),Weekly,Origin t,NO,SAFE,Trailing 13-week demand,NaN during warm-up,Quarterly volume baseline
rolling_std_4,Rolling Demand,Units_Sold,std(lag_1..lag_4),Weekly,Origin t,NO,SAFE,Trailing 4-week demand,NaN during warm-up,Short-term demand volatility
rolling_std_8,Rolling Demand,Units_Sold,std(lag_1..lag_8),Weekly,Origin t,NO,SAFE,Trailing 8-week demand,NaN during warm-up,Medium-term demand volatility
rolling_min_4,Rolling Demand,Units_Sold,min(lag_1..lag_4),Weekly,Origin t,NO,SAFE,Trailing 4-week demand,NaN during warm-up,Short-term demand floor
rolling_max_4,Rolling Demand,Units_Sold,max(lag_1..lag_4),Weekly,Origin t,NO,SAFE,Trailing 4-week demand,NaN during warm-up,Short-term demand ceiling
ewma_decay_03,EWMA Demand,Units_Sold,ewm(alpha=0.3),Weekly,Origin t,NO,SAFE,Historical series,Continuous recursive initialization,Exponential decay (mirrors top SES model)
ewma_decay_01,EWMA Demand,Units_Sold,ewm(alpha=0.1),Weekly,Origin t,NO,SAFE,Historical series,Continuous recursive initialization,Long-horizon exponential decay
trend_ratio_4_8,Demand Trends,Units_Sold,roll_mean_4 / (roll_mean_8 + eps),Weekly,Origin t,NO,SAFE,Rolling means,Epsilon protection against div-by-zero,Short-to-medium demand momentum
trend_ratio_4_13,Demand Trends,Units_Sold,roll_mean_4 / (roll_mean_13 + eps),Weekly,Origin t,NO,SAFE,Rolling means,Epsilon protection against div-by-zero,Short-to-quarterly demand momentum
demand_acceleration,Demand Trends,Units_Sold,(lag_1 - lag_4) / 3.0,Weekly,Origin t,NO,SAFE,Demand lags,NaN during warm-up,Demand velocity / slope
origin_week_of_year,Calendar Seasonality,Date,week(origin),Weekly,Origin t,NO,SAFE,Origin date timestamp,"Deterministic, 1..53",Annual weekly seasonality
origin_month,Calendar Seasonality,Date,month(origin),Weekly,Origin t,NO,SAFE,Origin date timestamp,"Deterministic, 1..12",Monthly seasonality
origin_quarter,Calendar Seasonality,Date,quarter(origin),Weekly,Origin t,NO,SAFE,Origin date timestamp,"Deterministic, 1..4",Quarterly seasonality
sin_week_annual,Calendar Seasonality,Date,sin(2pi*week/52.1775),Weekly,Origin t,NO,SAFE,Origin date timestamp,"Continuous [-1, 1]",Harmonic annual Fourier component
cos_week_annual,Calendar Seasonality,Date,cos(2pi*week/52.1775),Weekly,Origin t,NO,SAFE,Origin date timestamp,"Continuous [-1, 1]",Harmonic annual Fourier component
promo_days_last_4w,Promotion History,Promotion,sum(promo_days[t-3:t]),Weekly,Origin t,NO,SAFE,Historical promo schedule,Zero filled,Recent promotional intensity
